0150496420,2024-10-20,12:20,ENTRADA
0150496420,2024-10-20,12:21,SALIDA
0150496420,2024-10-20,12:22,ENTRADA
0150496420,2024-10-20,12:22,SALIDA
0150496420,2024-10-20,12:22,ENTRADA
1234567890,2024-10-20,13:23,ENTRADA
1234567890,2024-10-20,13:23,SALIDA
2300215825,2024-10-20,13:47,SALIDA
2300215825,2024-10-20,13:48,ENTRADA
2300215825,2024-10-20,13:48,SALIDA
2300215825,2024-10-20,13:48,ENTRADA
2300215825,2024-10-20,13:50,SALIDA
2300215825,2024-10-20,13:50,ENTRADA
0150496420,2024-10-22,03:28,SALIDA
0150496420,2024-10-22,03:29,SALIDA
0150496420,2024-10-22,03:30,ENTRADA
0150496420,2024-10-22,03:33,SALIDA
0150496420,2024-10-22,03:33,ENTRADA
